Date,Open,High,Low,Close,Volume,Adj Close
2013-10-11,866.03,873.48,865.30,871.99,1408900,871.99
2013-10-10,863.84,868.83,860.21,868.24,2255300,868.24
2013-10-09,856.28,862.65,842.98,855.86,2651300,855.86
2013-10-08,865.32,865.98,851.63,853.67,1943700,853.67
2013-10-07,867.45,873.99,864.11,865.74,1293600,865.74
2013-10-04,875.00,877.51,870.00,872.35,1358000,872.35
2013-10-03,888.00,894.10,872.10,876.09,2117000,876.09
2013-10-02,882.73,889.36,877.82,887.99,1495300,887.99
2013-10-01,880.25,887.67,880.05,887.00,1684800,887.00
2013-09-30,869.08,880.84,868.31,875.91,1722400,875.91
2013-09-27,874.82,877.52,871.31,876.39,1258800,876.39
2013-09-26,878.30,882.75,875.00,878.17,1259900,878.17
2013-09-25,886.55,886.55,875.60,877.23,1649000,877.23
2013-09-24,886.50,890.10,881.40,886.84,1486800,886.84
2013-09-23,896.15,901.59,885.20,886.50,1777400,886.50
2013-09-20,898.39,904.13,895.62,903.11,4345300,903.11
2013-09-19,905.99,905.99,895.40,898.39,1597900,898.39
2013-09-18,886.35,903.97,883.07,903.32,1934700,903.32
2013-09-17,887.41,888.39,881.00,886.11,1259400,886.11
2013-09-16,896.20,897.00,884.87,887.76,1336500,887.76
2013-09-13,894.50,895.68,884.84,889.07,1325400,889.07
2013-09-12,897.40,897.90,890.01,893.06,1095500,893.06
2013-09-11,888.54,896.97,886.08,896.19,1610600,896.19
2013-09-10,890.02,892.00,884.00,888.67,1287600,888.67
2013-09-09,883.73,889.75,882.42,888.05,1234600,888.05
2013-09-06,882.44,883.78,873.74,879.58,1561600,879.58
2013-09-05,873.50,879.88,871.61,879.56,1291300,879.56
2013-09-04,860.35,873.50,855.17,871.63,2041200,871.63
2013-09-03,854.36,866.19,853.95,860.38,2047600,860.38
2013-08-30,855.76,858.04,845.56,846.90,1861600,846.90
2013-08-29,849.07,860.38,848.59,855.43,1478500,855.43
2013-08-28,850.25,855.41,847.77,848.55,1329900,848.55
2013-08-27,859.62,863.73,847.90,850.15,1734100,850.15
2013-08-26,870.00,874.90,866.05,866.39,1052500,866.39
2013-08-23,877.83,878.00,869.75,870.21,1077100,870.21
2013-08-22,872.70,874.75,870.25,873.71,869900,873.71
2013-08-21,870.65,876.91,866.50,869.33,1757300,869.33
2013-08-20,868.35,872.11,863.54,865.42,1233000,865.42
2013-08-19,857.71,872.00,857.45,865.65,1810900,865.65
2013-08-16,861.28,862.44,856.54,856.91,1675100,856.91
2013-08-15,864.44,864.92,858.00,859.66,1869200,859.66
2013-08-14,878.37,880.23,867.16,869.81,2082200,869.81
2013-08-13,886.83,888.50,876.20,881.25,1419800,881.25
2013-08-12,886.90,887.00,881.65,885.51,1377000,885.51
2013-08-09,890.56,895.52,890.00,890.41,1323700,890.41
